,ticker,datePurchased,quantity,costBasis,totalCost,date,stockclosevalue,tickername_x,splitdate,stocksplits,tickername_y,nextsplitdate,cumQuantity
939,T,2021-07-29,0.0,0.0,0.0,2021-07-29,21.367069244384766,T,,,,2022-04-10,0.0
940,T,2021-07-30,0.0,0.0,0.0,2021-07-30,21.185800552368164,T,,,,2022-04-10,0.0
941,T,2021-07-31,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
942,T,2021-08-01,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
943,T,2021-08-02,0.0,0.0,0.0,2021-08-02,21.231117248535156,T,,,,2022-04-10,0.0
944,T,2021-08-03,0.0,0.0,0.0,2021-08-03,21.291540145874023,T,,,,2022-04-10,0.0
945,T,2021-08-04,0.0,0.0,0.0,2021-08-04,21.03474235534668,T,,,,2022-04-10,0.0
946,T,2021-08-05,0.0,0.0,0.0,2021-08-05,21.102718353271484,T,,,,2022-04-10,0.0
947,T,2021-08-06,0.0,0.0,0.0,2021-08-06,21.11782455444336,T,,,,2022-04-10,0.0
948,T,2021-08-07,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
949,T,2021-08-08,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
950,T,2021-08-09,0.0,0.0,0.0,2021-08-09,21.03474235534668,T,,,,2022-04-10,0.0
951,T,2021-08-10,0.0,0.0,0.0,2021-08-10,21.21601104736328,T,,,,2022-04-10,0.0
952,T,2021-08-11,0.0,0.0,0.0,2021-08-11,21.268882751464844,T,,,,2022-04-10,0.0
953,T,2021-08-12,0.0,0.0,0.0,2021-08-12,21.16314125061035,T,,,,2022-04-10,0.0
954,T,2021-08-13,0.0,0.0,0.0,2021-08-13,21.291540145874023,T,,,,2022-04-10,0.0
955,T,2021-08-14,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
956,T,2021-08-15,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
957,T,2021-08-16,0.0,0.0,0.0,2021-08-16,21.29909324645996,T,,,,2022-04-10,0.0
958,T,2021-08-17,0.0,0.0,0.0,2021-08-17,21.291540145874023,T,,,,2022-04-10,0.0
959,T,2021-08-18,0.0,0.0,0.0,2021-08-18,21.019636154174805,T,,,,2022-04-10,0.0
960,T,2021-08-19,0.0,0.0,0.0,2021-08-19,20.79305076599121,T,,,,2022-04-10,0.0
961,T,2021-08-20,0.0,0.0,0.0,2021-08-20,20.82326316833496,T,,,,2022-04-10,0.0
962,T,2021-08-21,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
963,T,2021-08-22,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
